dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,12,0.631578947368421,0.743724842409053,0.6982228298017772,0.04550201260727582,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,13,0.6666666666666666,0.7233433233433233,0.7233433233433233,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,13,0.6666666666666666,0.7233433233433233,0.7392163392163393,-0.01587301587301604,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,13,0.6666666666666666,0.7233433233433233,0.7392163392163393,-0.01587301587301604,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,13,0.6666666666666666,0.7233433233433233,0.6658674658674659,0.05747585747585737,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,13,0.6666666666666666,0.7233433233433233,0.6786879786879787,0.0446553446553446,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,13,0.6666666666666666,0.7233433233433233,0.6786879786879787,0.0446553446553446,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,tau,14,0.631578947368421,0.7780918642760748,0.7899966261808367,-0.011904761904761862,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,offset,14,0.631578947368421,0.7780918642760748,0.7780918642760748,0.0,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,panderm,A0,union,14,0.631578947368421,0.7780918642760748,0.7899966261808367,-0.011904761904761862,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,tau,14,0.631578947368421,0.7780918642760748,0.71817122935544,0.05992063492063482,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,offset,14,0.631578947368421,0.7780918642760748,0.7332088233404023,0.044883040935672525,탐색적/exploratory
oral_diseases,A0,w11_preds_panderm,dinov2,A0d,union,14,0.631578947368421,0.7780918642760748,0.7332088233404023,0.044883040935672525,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,tau,0,0.6842105263157895,0.7054436061015009,0.6886837577627052,0.016759848338795735,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,offset,0,0.6842105263157895,0.7054436061015009,0.6886837577627052,0.016759848338795735,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,union,0,0.6842105263157895,0.7054436061015009,0.6886837577627052,0.016759848338795735,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,tau,0,0.6842105263157895,0.7054436061015009,0.7054436061015009,0.0,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,offset,0,0.6842105263157895,0.7054436061015009,0.7343036349615298,-0.02886002886002892,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,dinov2,A0d,union,0,0.6842105263157895,0.7054436061015009,0.7343036349615298,-0.02886002886002892,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,tau,1,0.5263157894736842,0.6660068732437152,,,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,offset,1,0.5263157894736842,0.6660068732437152,0.7617414748993695,-0.09573460165565428,탐색적/exploratory
oral_diseases,A0d,w11_preds_dinov2,panderm,A0,union,1,0.5263157894736842,0.6660068732437152,0.7617414748993695,-0.09573460165565428,탐색적/exploratory
