dataset,arm,wave,loss,family,scaling,repeat,n,n_classes,argmax_pred_agree,ece_top_ew,ece_top_em,ece_top_db,ece_top_rms_em,ece_top_bias_corr,ece_dep_em,cwece_ew,cwece_em,cwece_db,cwece_rms_em,brier_multiclass,brier_balanced,brier_ovr_mean,nll,acc,bacc,mean_conf,n_bins_eff_em,exploratory
oral_diseases,A0d,w2,ce,softmax,none,2,516,7,1.0,0.23054303098919357,0.23054401067887914,0.2865594176088773,0.2939166914258552,0.007357273816977872,0.23054401067887914,0.07291727868951281,0.06176556533450296,0.09102182256058622,0.1001981849032048,0.5069192586188314,0.512624230079606,0.07241703694554734,1.6303763260206612,0.6918604651162791,0.688900893751665,0.9224034961054728,15,탐색적/exploratory
oral_diseases,A1,w1,ce,softmax,none,0,516,7,1.0,0.2101001564949156,0.20445430937485748,0.25417527205352797,0.26261148829772435,0.008436216244196382,0.20445430937485748,0.06600805721096699,0.059197872859262875,0.09553088616184768,0.10328745079343472,0.4623833846510478,0.4668157546884067,0.06605476923586397,1.59544711407709,0.7306201550387597,0.7300244558790423,0.9350744490430821,15,탐색적/exploratory
oral_diseases,A1,w1,ce,softmax,none,1,516,7,1.0,0.17950762105782922,0.1784913593249719,0.21457936666218685,0.22453122196573222,0.009951855303545365,0.1784913593249719,0.061426514021153615,0.05198547339080005,0.07945987766586704,0.09007401406131468,0.42972003279570237,0.4316117490332165,0.06138857611367177,1.5010005472717114,0.751937984496124,0.750402979254757,0.9304293327369063,15,탐색적/exploratory
oral_diseases,A1,w1,ce,softmax,none,2,516,7,1.0,0.19920433361185585,0.18892972729774823,0.2527247951119039,0.26062033395426265,0.007895538842358774,0.18892972729774823,0.06320776702575025,0.05388034635836913,0.0873343041486596,0.09637039308007864,0.4399422894557788,0.44607316583714357,0.06284889849368268,1.438953299011996,0.7441860465116279,0.7403931350777265,0.9331157660219767,15,탐색적/exploratory
oral_diseases,A2,w1,ce,softmax,none,0,516,7,1.0,0.19264728147246357,0.18898982694725175,0.2328035865192854,0.24234891311965512,0.009545326600369719,0.18898982694725175,0.06450738907528758,0.05606682199080879,0.08733038315161103,0.09623868932590515,0.4523351013097144,0.4506878001327473,0.06461930018710206,1.6060245872550538,0.7441860465116279,0.7440169292840111,0.9331758716307367,15,탐색적/exploratory
oral_diseases,A2,w1,ce,softmax,none,1,516,7,1.0,0.19079026678554778,0.19079026850788694,0.22772686827017513,0.23659504025057004,0.008868171980394912,0.19079026850788694,0.06044323119444144,0.05117526778984321,0.08553973573578733,0.09425827255563723,0.42105535154007234,0.41832619636692,0.06015076450572462,1.4130806757635088,0.7422480620155039,0.7423311578937203,0.933038328801052,15,탐색적/exploratory
oral_diseases,A2,w1,ce,softmax,none,2,516,7,1.0,0.19772435655253265,0.1907823345469728,0.25356360865747857,0.26152997524349963,0.007966366586021068,0.1907823345469728,0.06389553383731013,0.054889677570833184,0.09005171121613265,0.0985575216421415,0.44093700982434086,0.4322232737345187,0.06299100140347727,1.510384766632786,0.75,0.7557769325857271,0.9407793957577193,15,탐색적/exploratory
oral_diseases,A2d,w2,ce,softmax,none,0,516,7,1.0,0.20947156063713218,0.2075227806882297,0.24790045122939883,0.2572679153686901,0.009367464139291265,0.2075227806882297,0.0695551028730339,0.05862441626864432,0.0878926111783003,0.09855268537553279,0.5045274018005754,0.5180988224709037,0.07207534311436792,1.6605750935522656,0.6976744186046512,0.688506611336292,0.9051971790985682,15,탐색적/exploratory
oral_diseases,A2d,w2,ce,softmax,none,1,516,7,1.0,0.20247020680998024,0.20247022125138947,0.24034424024093842,0.24967480219309132,0.0093305619521529,0.20247022125138947,0.06490550472574104,0.05701041809022609,0.08340503152552771,0.09400685823565902,0.4831463810173838,0.4868235294304039,0.06902091157391196,1.5796495300594369,0.7054263565891473,0.7034101992489985,0.907896563399127,15,탐색적/exploratory
oral_diseases,A2d,w2,ce,softmax,none,2,516,7,1.0,0.22637795107542724,0.22637881923564485,0.28661941842738536,0.29402303029376414,0.007403611866378779,0.22637881923564485,0.07139278325410416,0.06378557212697711,0.09449327791306932,0.10334219579168646,0.5059805775586392,0.509287062705828,0.07228293965123418,1.652097364847265,0.6957364341085271,0.694259443791066,0.9221143851839544,15,탐색적/exploratory
oral_diseases,A3,w1,ldam,softmax,none,0,516,7,1.0,0.16623209006339573,0.16623210484467182,0.18353906513111254,0.19593545887110664,0.0123963937399941,0.16623210484467182,0.0552911803241817,0.04977910649488171,0.07580793209286817,0.08584692517411283,0.4370880160974303,0.44175078883265556,0.062441145156775756,1.1533479090834842,0.7228682170542635,0.7214568409538294,0.889100307117659,15,탐색적/exploratory
oral_diseases,A3,w1,ldam,softmax,none,1,516,7,1.0,0.1525021127400426,0.15066479112217263,0.15435407666533904,0.16877683970782892,0.014422763042489878,0.15066479112217263,0.05159881664611094,0.04543040835870491,0.06150597238024568,0.07457373245473413,0.42096313433746146,0.41912751918155294,0.06013759061963735,1.1511889677987337,0.7248062015503876,0.7265395500652346,0.8754709839459196,15,탐색적/exploratory
oral_diseases,A3,w1,ldam,softmax,none,2,516,7,1.0,0.12696746162414477,0.13335766170175503,0.15840492229214553,0.1717089007868415,0.013303978494695973,0.13335766170175503,0.047934579013893704,0.041890140090686215,0.06235227840861045,0.07501426033904668,0.39142930371406226,0.3926626890573231,0.05591847195915175,0.9876427657254238,0.751937984496124,0.7522108426551265,0.87446547325576,15,탐색적/exploratory
oral_diseases,A4,w1,logitadj,softmax,none,0,516,7,1.0,0.2118393713162459,0.20815323575749414,0.2584808460959873,0.2666093633275056,0.008128517231518306,0.20815323575749414,0.06488896152973436,0.060447750952467245,0.09647352729849008,0.10414744352919922,0.4628547755750137,0.46416382060071903,0.06612211079643053,1.5936090172226547,0.7267441860465116,0.7292570174789682,0.9348974062184474,15,탐색적/exploratory
oral_diseases,A4,w1,logitadj,softmax,none,1,516,7,1.0,0.18382467090254817,0.18382467107051179,0.21110018538189793,0.22121631602600023,0.0101161306441023,0.18382467107051179,0.06029514192097214,0.05202041657258839,0.08056202664789645,0.09070460893016126,0.4281313158027515,0.42592360694719245,0.06116161654325021,1.504883443406001,0.7441860465116279,0.7435017883633325,0.9280107174141762,15,탐색적/exploratory
oral_diseases,A4,w1,logitadj,softmax,none,2,516,7,1.0,0.20093479138375447,0.19809311975764346,0.2553974569034482,0.2631790859988475,0.007781629095399312,0.19809311975764346,0.062052026855416505,0.05277587825191615,0.0863584956250208,0.09608080279636658,0.4398879005308826,0.44239147994242156,0.06284112864726894,1.4334093646166268,0.7344961240310077,0.7316010603282049,0.9325892354084352,15,탐색적/exploratory
oral_diseases,A5,w2,mixup,softmax,none,0,516,7,1.0,0.11653750413132918,0.11726653979671674,0.12288548218663335,0.13986512358053968,0.016979641393906328,0.11726653979671674,0.046574433388979805,0.040274975134514356,0.047005891583815906,0.06382329180708177,0.43188188406028516,0.4383621832607298,0.06169741200861217,0.9681475744906484,0.686046511627907,0.6799203397932214,0.8025840157592363,15,탐색적/exploratory
oral_diseases,A5,w2,mixup,softmax,none,1,516,7,1.0,0.09566953268299871,0.09418337181596954,0.09036733474953035,0.1132264586787939,0.02285912392926355,0.09418337181596954,0.046170910791555164,0.04274983126018637,0.05734736983816755,0.07111505370535917,0.41206433556598254,0.4212445413905262,0.05886633365228322,0.9280051660434042,0.7209302325581395,0.7146667412469511,0.8121805739804119,15,탐색적/exploratory
oral_diseases,A5,w2,mixup,softmax,none,2,516,7,1.0,0.09230599684789093,0.0897590245247681,0.08142310930392573,0.10507965638445023,0.023656547080524504,0.0897590245247681,0.04191674593316498,0.0363809337101504,0.03734904361638248,0.05598520996257473,0.39852966069454415,0.39437659726799296,0.05693280867064916,0.9059780853189963,0.7228682170542635,0.7268832475718466,0.8126272415790315,15,탐색적/exploratory
oral_diseases,A5s,w2,mixup,softmax,none,0,516,7,1.0,0.14262267350829097,0.13743267386919783,0.16442324491690044,0.1769263367420493,0.01250309182514886,0.13743267386919783,0.050541517333553575,0.04230505566886429,0.05832255094848828,0.07174212696901001,0.41644235186885364,0.4178158289618588,0.05949176455269338,0.9656858514535603,0.7189922480620154,0.7195019314501531,0.8563978219957941,15,탐색적/exploratory
oral_diseases,A5s,w2,mixup,softmax,none,1,516,7,1.0,0.10715199260643901,0.10024472235420705,0.11218663109194286,0.13007700143181197,0.017890370339869108,0.10024472235420705,0.043727847374100064,0.03354619619027911,0.044305414080135476,0.058855238704344566,0.37400191106687336,0.37491915171738055,0.05342884443812477,0.8734735184558692,0.7596899224806202,0.7611874434046422,0.859283856110379,15,탐색적/exploratory
