n_folds,mean_diff,sd,se_nb,p_nb,ci_lo,ci_hi,wins,mde_post,tost_p,equivalent,passes_floor,dataset,contrast,family,arm,mode,holm_p,gate_pass,exploratory
15,0.0008143416038152532,0.017549122432269457,0.00987544282949114,0.9354473036303846,-0.020366376714170676,0.021995059921801185,8,0.02975314368612266,0.036216783177934996,True,False,oral_diseases,scale(A0) − A0,C5,A0,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.0004336014862330817,0.010850018027386365,0.0061056462020788235,0.9443891486415601,-0.01352891018158764,0.012661707209121477,6,0.018395344075566988,0.003180781697785711,True,False,oral_diseases,offset(A1) − A1,C5,A1,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.006865892392208162,0.01417333965062074,0.007975783744336459,0.4038273298344903,-0.023972247192772217,0.010240462408355891,5,0.02402977201650327,0.06093200878865061,False,False,oral_diseases,scale(A1) − A1,C5,A1,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0027477347214189375,0.007909129763074261,0.004450715932247671,0.5469020760227309,-0.006798101561769544,0.012293571004607418,10,0.013409301529529866,0.0008391527683109346,True,False,oral_diseases,offset(A2) − A2,C5,A2,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.00433535275640536,0.0214015798405391,0.012043341710774204,0.7242352189558384,-0.021495046222908383,0.0301657517357191,7,0.036284679337281224,0.10718391413673733,False,False,oral_diseases,scale(A2) − A2,C5,A2,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0041960281433965465,0.013552572584975248,0.007626458603385794,0.5908574477619644,-0.01216109874510151,0.0205531550318946,9,0.022977310745516826,0.028594539072834744,True,False,oral_diseases,offset(A3) − A3,C5,A3,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.008385479043373781,0.016222044476627215,0.009128654348653804,0.3738661683131772,-0.011193537282221867,0.02796449536896943,10,0.027503188382129527,0.11199395192368468,False,False,oral_diseases,scale(A3) − A3,C5,A3,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0035892226681700557,0.016904514764083868,0.009512701832088733,0.7116024027656753,-0.016813493587425163,0.023991938923765277,7,0.02866026256646988,0.05324840273580769,False,False,oral_diseases,offset(A4) − A4,C5,A4,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.001377423745844782,0.020754414038285707,0.011679161170919787,0.907791714924869,-0.026426733151280052,0.02367188565959049,7,0.03518746110443196,0.06657050626665562,False,False,oral_diseases,scale(A4) − A4,C5,A4,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.003988823067770457,0.02993775349659571,0.01684691495201997,0.8162654961368381,-0.0401218619893463,0.032144215853805384,7,0.050757084000167985,0.17901632668334452,False,False,oral_diseases,A1 − A0 @none,C3,A1,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.013786773655194687,0.02595636296034135,0.014606461346752577,0.3612352466078878,-0.04511451750929557,0.0175409701989062,3,0.044006952467783106,0.33851462447647135,False,False,oral_diseases,A1 − A0 @full,C3,A1,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.003133908002329059,0.01302350416528001,0.007328735172954756,0.6754327424381352,-0.012584665635899286,0.018852481640557403,4,0.02208031724787977,0.018626873757097814,True,False,oral_diseases,A2 − A0 @none,C3,A2,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.003947076315497348,0.013174361188938609,0.00741362716218769,0.602791313835041,-0.011953572531148655,0.01984772516214335,6,0.022336083353467002,0.02406103653194135,True,False,oral_diseases,A2 − A0 @full,C3,A2,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.010574712811554931,0.03251963056982425,0.018299818339516886,0.5725371371576792,-0.049823919577464834,0.028674493954354976,7,0.055134451577159724,0.3072774746047977,False,False,oral_diseases,A3 − A0 @none,C3,A3,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.007719405350984269,0.024848943097573854,0.013983281379480047,0.5896218439723394,-0.03771056110710198,0.02227175040513344,5,0.042129410019438214,0.19731979929961377,False,False,oral_diseases,A3 − A0 @full,C3,A3,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.009443431811852905,0.02917708400955642,0.016418862320876332,0.5743127833475061,-0.04465838914842368,0.02577152552471787,5,0.04946742928194045,0.26532218453354567,False,False,oral_diseases,A4 − A0 @none,C3,A4,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.01267519517519516,0.028791788904217543,0.01620204465378545,0.4470569148172727,-0.047425124865684024,0.0220747345152937,3,0.04881419202321417,0.3290642960732646,False,False,oral_diseases,A4 − A0 @full,C3,A4,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.04375017769754611,0.014388081597129317,,,,,15,,,False,False,oral_diseases,spread(max−min) @none,C2,-,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.04132789724894984,0.01364351570425182,,,,,15,,,False,False,oral_diseases,spread(max−min) @full,C2,-,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
