dataset,task,scenario,prevalence,strategy,strategy_kind,p_t,exchange_rate_w,n_folds,nb,nb_se_nb,nb_ci_lo,nb_ci_hi,nb_per_1000,nb_per_1000_lo,nb_per_1000_hi,mean_tp_rate,mean_fp_rate,exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.01,0.010101010101010102,15,0.09010151035932105,0.0009768574876212598,0.08800635942387815,0.09219666129476396,90.10151035932105,88.00635942387815,92.19666129476396,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.015,0.015228426395939085,15,0.08986741728433877,0.0009687608891902061,0.08778963182542819,0.09194520274324934,89.86741728433877,87.78963182542819,91.94520274324934,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.02,0.020408163265306124,15,0.08963093550450975,0.000960907675363909,0.08756999351407119,0.09169187749494831,89.63093550450975,87.56999351407119,91.69187749494832,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.025,0.025641025641025644,15,0.08939202827052864,0.0009533148529245519,0.08734737126458174,0.09143668527647554,89.39202827052864,87.34737126458174,91.43668527647554,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.03,0.030927835051546393,15,0.08915065807537242,0.0009460001257325615,0.08712168959893266,0.09117962655181219,89.15065807537242,87.12168959893266,91.17962655181219,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.035,0.036269430051813475,15,0.08890678663467058,0.0009389818847748224,0.08689287078800957,0.09092070248133159,88.90678663467058,86.89287078800957,90.92070248133159,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.04,0.04166666666666667,15,0.08866037486646143,0.0009322791916713996,0.08666083486674184,0.09065991486618102,88.66037486646142,86.66083486674184,90.65991486618103,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.045,0.04712041884816754,15,0.08841138287031289,0.0009259117549392852,0.0864254996641325,0.09039726607649327,88.41138287031289,86.4254996641325,90.39726607649327,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.05,0.052631578947368425,15,0.08815976990578386,0.0009198998983409693,0.08618678084960521,0.09013275896196252,88.15976990578386,86.18678084960521,90.13275896196252,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.055,0.058201058201058205,15,0.08790549437020162,0.0009142645207002867,0.08594459199696809,0.08986639674343515,87.90549437020162,85.94459199696809,89.86639674343515,0.09056267371703614,0.045655172413793105,탐색적/exploratory
