family,dataset,base_arm,tau,class_idx,class_name,recall_base,recall_arm,delta,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,zero_var,all_zero,noise_flag,note,exploratory
dinov2,oral_diseases,A0d,0.5,0,CaS,0.818888888888889,0.818888888888889,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,1,CoS,0.9466666666666668,0.9466666666666668,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,2,Gum,0.6243589743589745,0.6299145299145299,0.0055555555555555506,0.021516574145596743,1,-0.02041363452245836,0.03152474563356946,0.6533976653313036,0.012108052620946306,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,3,MC,0.6074074074074074,0.6037037037037037,-0.0037037037037036978,0.014344382763731152,0,-0.021016497089046293,0.013609089681638896,0.6533976653313036,0.008072035080630865,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,4,OC,0.5442424242424243,0.5563636363636364,0.012121212121212125,0.04694525268130204,1,-0.04453883895809103,0.06878126320051528,0.6533976653313036,0.026417569354791972,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,5,OLP,0.6487329434697855,0.6346978557504872,-0.014035087719298253,0.024091458327213877,0,-0.043112005648819174,0.01504183021022267,0.31809817512822874,0.013557020888519827,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,0.5,6,OT,0.691880341880342,0.691880341880342,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,0,CaS,0.818888888888889,0.8147222222222223,-0.004166666666666667,0.016137430609197572,0,-0.023643559225177118,0.015310225891843787,0.6533976653313036,0.009081039465709737,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,1,CoS,0.9466666666666668,0.9466666666666668,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,2,Gum,0.6243589743589745,0.6299145299145299,0.0055555555555555506,0.021516574145596743,1,-0.02041363452245836,0.03152474563356946,0.6533976653313036,0.012108052620946306,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,3,MC,0.6074074074074074,0.6,-0.007407407407407403,0.019548098626361008,0,-0.031000767830707845,0.016185953015893036,0.5116693012006671,0.011000329569466548,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,4,OC,0.5442424242424243,0.5684848484848485,0.024242424242424246,0.05396516724587853,3,-0.040890234716986634,0.08937508320183513,0.4380340960006565,0.030367895943368983,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,5,OLP,0.6487329434697855,0.6276803118908382,-0.021052631578947375,0.03328713326493032,0,-0.061228167194409586,0.019122904036514832,0.27995676093874095,0.018731716231633885,False,False,True,잡음 수준 — 부호 해석 금지,탐색적/exploratory
dinov2,oral_diseases,A0d,1.0,6,OT,0.691880341880342,0.691880341880342,0.0,0.0,0,,,,0.0,True,True,False,예측 불변 (Δ ≡ 0),탐색적/exploratory
