dataset,fold,mode,label,recall
oral_diseases,8,lora_anchor_all,0,0.8666666666666667
oral_diseases,8,lora_anchor_all,1,1.0
oral_diseases,8,lora_anchor_all,2,0.7777777777777778
oral_diseases,8,lora_anchor_all,3,0.5
oral_diseases,8,lora_anchor_all,4,0.75
oral_diseases,8,lora_anchor_all,5,0.5555555555555556
oral_diseases,8,lora_anchor_all,6,0.6666666666666666
oral_diseases,8,lora_anchor_oof,0,0.8666666666666667
oral_diseases,8,lora_anchor_oof,1,1.0
oral_diseases,8,lora_anchor_oof,2,0.7777777777777778
oral_diseases,8,lora_anchor_oof,3,0.4375
oral_diseases,8,lora_anchor_oof,4,0.75
oral_diseases,8,lora_anchor_oof,5,0.6666666666666666
oral_diseases,8,lora_anchor_oof,6,0.7333333333333333
oral_diseases,8,selected_training,0,0.8666666666666667
oral_diseases,8,selected_training,1,1.0
oral_diseases,8,selected_training,2,0.7777777777777778
oral_diseases,8,selected_training,3,0.5625
oral_diseases,8,selected_training,4,0.75
oral_diseases,8,selected_training,5,0.7777777777777778
oral_diseases,8,selected_training,6,0.7333333333333333
oral_diseases,9,lora,0,0.7058823529411765
oral_diseases,9,lora,1,1.0
oral_diseases,9,lora,2,0.875
oral_diseases,9,lora,3,0.8421052631578947
oral_diseases,9,lora,4,0.8181818181818182
oral_diseases,9,lora,5,0.8095238095238095
oral_diseases,9,lora,6,0.75
oral_diseases,9,last2,0,0.7058823529411765
oral_diseases,9,last2,1,1.0
oral_diseases,9,last2,2,1.0
oral_diseases,9,last2,3,0.9473684210526315
oral_diseases,9,last2,4,0.6363636363636364
oral_diseases,9,last2,5,0.7142857142857143
oral_diseases,9,last2,6,0.6666666666666666
oral_diseases,9,full,0,0.7647058823529411
oral_diseases,9,full,1,1.0
oral_diseases,9,full,2,1.0
oral_diseases,9,full,3,0.8947368421052632
oral_diseases,9,full,4,0.5454545454545454
oral_diseases,9,full,5,0.9047619047619048
oral_diseases,9,full,6,0.75
oral_diseases,9,lora_anchor_all,0,0.7058823529411765
oral_diseases,9,lora_anchor_all,1,1.0
oral_diseases,9,lora_anchor_all,2,0.875
oral_diseases,9,lora_anchor_all,3,0.8421052631578947
oral_diseases,9,lora_anchor_all,4,0.6363636363636364
oral_diseases,9,lora_anchor_all,5,0.8571428571428571
oral_diseases,9,lora_anchor_all,6,0.75
oral_diseases,9,lora_anchor_oof,0,0.7058823529411765
oral_diseases,9,lora_anchor_oof,1,0.9090909090909091
oral_diseases,9,lora_anchor_oof,2,0.875
oral_diseases,9,lora_anchor_oof,3,0.8421052631578947
oral_diseases,9,lora_anchor_oof,4,0.8181818181818182
oral_diseases,9,lora_anchor_oof,5,0.8095238095238095
oral_diseases,9,lora_anchor_oof,6,0.75
oral_diseases,9,selected_training,0,0.7647058823529411
oral_diseases,9,selected_training,1,1.0
oral_diseases,9,selected_training,2,1.0
oral_diseases,9,selected_training,3,0.8947368421052632
oral_diseases,9,selected_training,4,0.5454545454545454
oral_diseases,9,selected_training,5,0.9047619047619048
oral_diseases,9,selected_training,6,0.75
oral_diseases,10,lora,0,0.8823529411764706
oral_diseases,10,lora,1,1.0
oral_diseases,10,lora,2,0.7777777777777778
oral_diseases,10,lora,3,0.6
oral_diseases,10,lora,4,0.8181818181818182
oral_diseases,10,lora,5,0.7391304347826086
oral_diseases,10,lora,6,0.8181818181818182
oral_diseases,10,last2,0,0.8823529411764706
oral_diseases,10,last2,1,1.0
oral_diseases,10,last2,2,0.7777777777777778
oral_diseases,10,last2,3,0.5333333333333333
oral_diseases,10,last2,4,0.7272727272727273
oral_diseases,10,last2,5,0.8260869565217391
oral_diseases,10,last2,6,0.8181818181818182
oral_diseases,10,full,0,0.8823529411764706
oral_diseases,10,full,1,1.0
oral_diseases,10,full,2,0.6666666666666666
oral_diseases,10,full,3,0.5333333333333333
oral_diseases,10,full,4,0.8181818181818182
oral_diseases,10,full,5,0.7391304347826086
oral_diseases,10,full,6,0.8181818181818182
oral_diseases,10,lora_anchor_all,0,0.8823529411764706
oral_diseases,10,lora_anchor_all,1,1.0
oral_diseases,10,lora_anchor_all,2,0.7777777777777778
oral_diseases,10,lora_anchor_all,3,0.6
oral_diseases,10,lora_anchor_all,4,0.8181818181818182
oral_diseases,10,lora_anchor_all,5,0.7391304347826086
oral_diseases,10,lora_anchor_all,6,0.8181818181818182
oral_diseases,10,lora_anchor_oof,0,0.8823529411764706
oral_diseases,10,lora_anchor_oof,1,1.0
oral_diseases,10,lora_anchor_oof,2,0.7777777777777778
oral_diseases,10,lora_anchor_oof,3,0.6
oral_diseases,10,lora_anchor_oof,4,0.8181818181818182
oral_diseases,10,lora_anchor_oof,5,0.7391304347826086
oral_diseases,10,lora_anchor_oof,6,0.8181818181818182
oral_diseases,10,selected_training,0,0.8823529411764706
oral_diseases,10,selected_training,1,1.0
oral_diseases,10,selected_training,2,0.7777777777777778
oral_diseases,10,selected_training,3,0.5333333333333333
oral_diseases,10,selected_training,4,0.7272727272727273
oral_diseases,10,selected_training,5,0.8260869565217391
oral_diseases,10,selected_training,6,0.8181818181818182
oral_diseases,11,lora,0,0.8333333333333334
oral_diseases,11,lora,1,0.9444444444444444
oral_diseases,11,lora,2,0.7142857142857143
oral_diseases,11,lora,3,0.6363636363636364
oral_diseases,11,lora,4,0.5
oral_diseases,11,lora,5,0.6818181818181818
oral_diseases,11,lora,6,0.46153846153846156
oral_diseases,11,last2,0,0.8333333333333334
oral_diseases,11,last2,1,0.9444444444444444
oral_diseases,11,last2,2,0.7142857142857143
oral_diseases,11,last2,3,0.7272727272727273
oral_diseases,11,last2,4,0.2
oral_diseases,11,last2,5,0.6363636363636364
oral_diseases,11,last2,6,0.5384615384615384
oral_diseases,11,full,0,0.8333333333333334
oral_diseases,11,full,1,0.9444444444444444
oral_diseases,11,full,2,0.7142857142857143
oral_diseases,11,full,3,0.5909090909090909
oral_diseases,11,full,4,0.7
oral_diseases,11,full,5,0.6363636363636364
oral_diseases,11,full,6,0.6153846153846154
oral_diseases,11,lora_anchor_all,0,0.8333333333333334
oral_diseases,11,lora_anchor_all,1,0.9444444444444444
oral_diseases,11,lora_anchor_all,2,0.7142857142857143
oral_diseases,11,lora_anchor_all,3,0.6818181818181818
oral_diseases,11,lora_anchor_all,4,0.3
oral_diseases,11,lora_anchor_all,5,0.6363636363636364
oral_diseases,11,lora_anchor_all,6,0.46153846153846156
oral_diseases,11,lora_anchor_oof,0,0.8333333333333334
oral_diseases,11,lora_anchor_oof,1,0.9444444444444444
oral_diseases,11,lora_anchor_oof,2,0.7142857142857143
oral_diseases,11,lora_anchor_oof,3,0.7727272727272727
oral_diseases,11,lora_anchor_oof,4,0.4
oral_diseases,11,lora_anchor_oof,5,0.5
oral_diseases,11,lora_anchor_oof,6,0.46153846153846156
oral_diseases,11,selected_training,0,0.8333333333333334
oral_diseases,11,selected_training,1,0.9444444444444444
oral_diseases,11,selected_training,2,0.7142857142857143
oral_diseases,11,selected_training,3,0.6363636363636364
oral_diseases,11,selected_training,4,0.5
oral_diseases,11,selected_training,5,0.6818181818181818
oral_diseases,11,selected_training,6,0.46153846153846156
oral_diseases,12,lora,0,0.6666666666666666
oral_diseases,12,lora,1,1.0
oral_diseases,12,lora,2,1.0
oral_diseases,12,lora,3,0.5238095238095238
oral_diseases,12,lora,4,0.631578947368421
oral_diseases,12,lora,5,0.8
oral_diseases,12,lora,6,0.6
oral_diseases,12,last2,0,0.8
oral_diseases,12,last2,1,1.0
oral_diseases,12,last2,2,1.0
oral_diseases,12,last2,3,0.5714285714285714
oral_diseases,12,last2,4,0.6842105263157895
oral_diseases,12,last2,5,0.8
oral_diseases,12,last2,6,0.6666666666666666
oral_diseases,12,full,0,0.7333333333333333
oral_diseases,12,full,1,1.0
oral_diseases,12,full,2,1.0
oral_diseases,12,full,3,0.42857142857142855
oral_diseases,12,full,4,0.7894736842105263
oral_diseases,12,full,5,0.8
oral_diseases,12,full,6,0.6666666666666666
oral_diseases,12,lora_anchor_all,0,0.7333333333333333
oral_diseases,12,lora_anchor_all,1,1.0
oral_diseases,12,lora_anchor_all,2,1.0
oral_diseases,12,lora_anchor_all,3,0.47619047619047616
oral_diseases,12,lora_anchor_all,4,0.7894736842105263
oral_diseases,12,lora_anchor_all,5,0.8
oral_diseases,12,lora_anchor_all,6,0.6
oral_diseases,12,lora_anchor_oof,0,0.7333333333333333
oral_diseases,12,lora_anchor_oof,1,1.0
oral_diseases,12,lora_anchor_oof,2,1.0
oral_diseases,12,lora_anchor_oof,3,0.5238095238095238
oral_diseases,12,lora_anchor_oof,4,0.6842105263157895
oral_diseases,12,lora_anchor_oof,5,0.8
oral_diseases,12,lora_anchor_oof,6,0.6666666666666666
oral_diseases,12,selected_training,0,0.8
oral_diseases,12,selected_training,1,1.0
oral_diseases,12,selected_training,2,1.0
oral_diseases,12,selected_training,3,0.5714285714285714
oral_diseases,12,selected_training,4,0.6842105263157895
oral_diseases,12,selected_training,5,0.8
oral_diseases,12,selected_training,6,0.6666666666666666
oral_diseases,13,lora,0,0.8333333333333334
oral_diseases,13,lora,1,1.0
oral_diseases,13,lora,2,0.7222222222222222
oral_diseases,13,lora,3,0.6
oral_diseases,13,lora,4,0.8571428571428571
oral_diseases,13,lora,5,0.7222222222222222
oral_diseases,13,lora,6,0.9090909090909091
oral_diseases,13,last2,0,0.8333333333333334
oral_diseases,13,last2,1,1.0
oral_diseases,13,last2,2,0.7222222222222222
oral_diseases,13,last2,3,0.55
oral_diseases,13,last2,4,0.8571428571428571
oral_diseases,13,last2,5,0.6111111111111112
oral_diseases,13,last2,6,0.8181818181818182
oral_diseases,13,full,0,0.8333333333333334
oral_diseases,13,full,1,1.0
oral_diseases,13,full,2,0.7777777777777778
oral_diseases,13,full,3,0.75
oral_diseases,13,full,4,0.8571428571428571
oral_diseases,13,full,5,0.6666666666666666
oral_diseases,13,full,6,0.9090909090909091
oral_diseases,13,lora_anchor_all,0,0.8333333333333334
oral_diseases,13,lora_anchor_all,1,1.0
oral_diseases,13,lora_anchor_all,2,0.8888888888888888
oral_diseases,13,lora_anchor_all,3,0.55
oral_diseases,13,lora_anchor_all,4,0.8571428571428571
oral_diseases,13,lora_anchor_all,5,0.6666666666666666
oral_diseases,13,lora_anchor_all,6,0.8181818181818182
oral_diseases,13,lora_anchor_oof,0,0.8333333333333334
oral_diseases,13,lora_anchor_oof,1,1.0
oral_diseases,13,lora_anchor_oof,2,0.8333333333333334
oral_diseases,13,lora_anchor_oof,3,0.65
oral_diseases,13,lora_anchor_oof,4,0.8571428571428571
oral_diseases,13,lora_anchor_oof,5,0.6666666666666666
oral_diseases,13,lora_anchor_oof,6,0.8181818181818182
oral_diseases,13,selected_training,0,0.8333333333333334
oral_diseases,13,selected_training,1,1.0
oral_diseases,13,selected_training,2,0.7777777777777778
oral_diseases,13,selected_training,3,0.75
oral_diseases,13,selected_training,4,0.8571428571428571
oral_diseases,13,selected_training,5,0.6666666666666666
oral_diseases,13,selected_training,6,0.9090909090909091
oral_diseases,14,lora,0,0.8695652173913043
oral_diseases,14,lora,1,0.8823529411764706
