cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_u_N500_IR20,hk_u,0.47309027777777773,0.32310745465730106,0.5209754681376106,0.46,0.671875,"[0.78125, 0.3333333333333333, 0.4444444444444444, 0.3333333333333333]",H1,3,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.6089409722222222,0.4306463601447144,0.5456367766938395,0.42,0.5225694444444444,"[0.796875, 0.4166666666666667, 0.5555555555555556, 0.6666666666666666]",H1,4,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.48125,0.41687723769594465,0.5713403812022533,0.38613861386138615,0.6903846153846154,"[0.8, 0.5, 0.625, 0.0]",H1,5,rebalance,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.5672426607209217,0.41318763986013973,0.32417582417582413,0.59,0.7845968041620215,"[0.7230769230769231, 0.43478260869565216, 0.7777777777777778, 0.3333333333333333]",H1,6,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.584201388888889,0.5021048203270615,0.48366214549938347,0.39,0.6176215277777777,"[0.78125, 0.6666666666666666, 0.5555555555555556, 0.3333333333333333]",H1,7,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.48480902777777773,0.5114836827569499,0.5470438652256834,0.35,0.7052951388888888,"[0.828125, 0.6666666666666666, 0.4444444444444444, 0.0]",H1,8,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.4396701388888889,0.35178636378026434,0.3533060578065198,0.54,0.9405381944444444,"[0.703125, 0.5, 0.5555555555555556, 0.0]",H1,9,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.5942307692307692,0.5665853979853395,0.620419668023802,0.297029702970297,0.55,"[0.8769230769230769, 0.625, 0.625, 0.25]",H1,10,rebalance,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.6282980304719435,0.49463933670363897,0.4933333333333333,0.42,0.6742103307320699,"[0.7692307692307693, 0.5217391304347826, 0.8888888888888888, 0.3333333333333333]",H1,11,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.5269097222222222,0.38799317532739974,0.49140401146131807,0.45,0.6736111111111112,"[0.71875, 0.5, 0.5555555555555556, 0.3333333333333333]",H1,12,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.48480902777777773,0.46778276917285694,0.3584070796460177,0.47,0.7009548611111112,"[0.703125, 0.7916666666666666, 0.4444444444444444, 0.0]",H1,13,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.4539930555555555,0.37673744972367734,0.4629046118590662,0.47,0.9066840277777778,"[0.71875, 0.5416666666666666, 0.5555555555555556, 0.0]",H1,14,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.40721153846153846,0.3862276761644785,0.27338129496402885,0.5445544554455446,1.0216346153846154,"[0.7538461538461538, 0.625, 0.25, 0.0]",H2,0,aug,ce,2000,101,H1
hk_u_N500_IR20,hk_u,0.5663879598662208,0.4627318097897458,0.4859154929577465,0.41,0.7491824600520254,"[0.8307692307692308, 0.43478260869565216, 0.6666666666666666, 0.3333333333333333]",H2,1,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.6072048611111112,0.46163512076129604,0.4445197127760466,0.44,0.6089409722222221,"[0.734375, 0.5833333333333334, 0.7777777777777778, 0.3333333333333333]",H2,2,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.46267361111111116,0.35787960022014115,0.4207237698516011,0.51,0.7057291666666666,"[0.78125, 0.2916666666666667, 0.7777777777777778, 0.0]",H2,3,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.5373263888888888,0.4055892377005244,0.4770773638968481,0.45,0.5811631944444444,"[0.71875, 0.5416666666666666, 0.5555555555555556, 0.3333333333333333]",H2,4,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.49551282051282053,0.4247176824927673,0.5738396624472574,0.3564356435643564,0.7309294871794871,"[0.8153846153846154, 0.5416666666666666, 0.625, 0.0]",H2,5,aug,ce,2000,101,H1
hk_u_N500_IR20,hk_u,0.564065403195838,0.3744565335228025,0.4084507042253521,0.48,0.7591973244147157,"[0.7538461538461538, 0.391304347826087, 0.7777777777777778, 0.3333333333333333]",H2,6,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.517795138888889,0.35829190382465825,0.39905565889254546,0.48,0.6918402777777777,"[0.765625, 0.4166666666666667, 0.5555555555555556, 0.3333333333333333]",H2,7,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.4526909722222222,0.42416575274155305,0.4920844327176782,0.45,0.7660590277777778,"[0.796875, 0.4583333333333333, 0.5555555555555556, 0.0]",H2,8,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.5069444444444444,0.42301403337443283,0.40824282929546085,0.47,0.9513888888888888,"[0.75, 0.5, 0.7777777777777778, 0.0]",H2,9,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.5580128205128205,0.4747111875857819,0.4875665518321328,0.42574257425742573,0.6131410256410257,"[0.8153846153846154, 0.5416666666666666, 0.625, 0.25]",H2,10,aug,ce,2000,101,H1
hk_u_N500_IR20,hk_u,0.6445373467112597,0.4913830647159812,0.44705882352941173,0.48,0.5938684503901894,"[0.7230769230769231, 0.5217391304347826, 1.0, 0.3333333333333333]",H2,11,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.5677083333333334,0.45198986280925085,0.5532275458326914,0.38,0.7083333333333334,"[0.8125, 0.4583333333333333, 0.6666666666666666, 0.3333333333333333]",H2,12,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.4796006944444445,0.45820423564839885,0.35508345978755684,0.45,0.7061631944444444,"[0.765625, 0.7083333333333334, 0.4444444444444444, 0.0]",H2,13,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.4266493055555556,0.34099025901449015,0.44923033469848894,0.5,0.9444444444444444,"[0.734375, 0.4166666666666667, 0.5555555555555556, 0.0]",H2,14,aug,ce,2005,100,H1
hk_u_N500_IR20,hk_u,0.29903846153846153,0.021157163682775187,0.27190577723626763,0.8514851485148515,1.0086538461538461,"[0.4461538461538462, 0.25, 0.0, 0.5]",H3,0,rebalance,coral,400,101,H1
hk_u_N500_IR20,hk_u,0.41083240431066514,0.14851304163170054,0.3039215686274511,0.82,0.888628762541806,"[0.4307692307692308, 0.43478260869565216, 0.1111111111111111, 0.6666666666666666]",H3,1,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.40755208333333337,0.1463242640161033,0.3709602954755309,0.69,0.8637152777777778,"[0.546875, 0.4166666666666667, 0.0, 0.6666666666666666]",H3,2,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.3216145833333333,0.17551215039898577,0.4593709043250328,0.67,0.91796875,"[0.578125, 0.375, 0.0, 0.3333333333333333]",H3,3,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.44270833333333326,0.21654239171208028,0.461246479735521,0.6,0.716579861111111,"[0.5625, 0.5416666666666666, 0.0, 0.6666666666666666]",H3,4,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.4,0.1560365744878789,0.4734504730642981,0.5841584158415841,0.7990384615384616,"[0.6, 0.375, 0.125, 0.5]",H3,5,rebalance,coral,400,101,H1
hk_u_N500_IR20,hk_u,0.3087513935340022,0.08666251635436806,0.17261904761904767,0.79,1.1289297658862876,"[0.5538461538461539, 0.34782608695652173, 0.0, 0.3333333333333333]",H3,6,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.3663194444444445,0.19496559510485098,0.37135672648302664,0.72,0.9973958333333333,"[0.4375, 0.5833333333333334, 0.1111111111111111, 0.3333333333333333]",H3,7,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.37630208333333337,0.13248462421010845,0.34834690943938673,0.82,0.7491319444444445,"[0.421875, 0.4166666666666667, 0.0, 0.6666666666666666]",H3,8,rebalance,coral,401,100,H1
hk_u_N500_IR20,hk_u,0.33984374999999994,0.17157275693450608,0.289267945984364,0.78,1.031684027777778,"[0.484375, 0.5416666666666666, 0.0, 0.3333333333333333]",H3,9,rebalance,coral,401,100,H1
