cell,comparison,n_folds,mean_diff,sd,se_nb,mde_80
hk_u_N1300_IR9p35,L3 - L23,15,-0.0687810096505749,0.04552590154293162,0.025618855853530152,0.07718555131600127
hk_u_N1300_IR9p35,L4 - L23,15,-0.06090662552139535,0.04244958371849466,0.0238877151131414,0.0719698987038615
hk_u_N1300_IR9p35,L5 - L23,15,-0.037676493399799046,0.038117197471043446,0.02144974518802958,0.06462468181215335
hk_u_N1300_IR9p35,L6 - L23,15,-0.037642352023745884,0.03476110807023999,0.01956116818731573,0.05893469870610717
hk_u_N1300_IR9p35,L7 - L23,15,-0.020320922269451716,0.029400455752828396,0.016544560622254064,0.049846138336959354
hk_u_N1300_IR9p35,L8 - L23,15,-0.02164783367149099,0.04436704203508091,0.024966729181022124,0.07522079703371877
hk_u_N1300_IR9p35,L9 - L23,15,-0.023530304148111088,0.042095392607866926,0.023688400641593447,0.07136939579851548
hk_u_N1300_IR9p35,L10 - L23,15,-0.008031450232537197,0.03534461382587599,0.019889525217856835,0.05992398638451488
hk_u_N1300_IR9p35,L11 - L23,15,0.0020196298680953367,0.04294703509523085,0.02416764663965333,0.07281328801554991
hk_u_N1300_IR9p35,L12 - L23,15,-0.0049692120480164135,0.049640584109308966,0.02793431707403225,0.08416166890208968
hk_u_N1300_IR9p35,L13 - L23,15,0.016479495302225467,0.035917080685759946,0.02021167031476304,0.06089455849166172
hk_u_N1300_IR9p35,L14 - L23,15,0.01814665359742085,0.029326924620853716,0.016503182342923785,0.0497214721410576
hk_u_N1300_IR9p35,L15 - L23,15,0.01314384976229603,0.03017889867264128,0.016982614922707202,0.051165926499246145
hk_u_N1300_IR9p35,L16 - L23,15,0.030446721419387642,0.03758624530356782,0.021150961713509032,0.0637244945697242
hk_u_N1300_IR9p35,L17 - L23,15,0.025838938519565115,0.04011168081866431,0.02257210366206838,0.06800616996635339
hk_u_N1300_IR9p35,L18 - L23,15,0.02109529164356529,0.0352431087233912,0.019832405105990332,0.05975189254274246
hk_u_N1300_IR9p35,L19 - L23,15,0.010514961322186362,0.02937911705806974,0.016532552667955586,0.049809960274285345
hk_u_N1300_IR9p35,L20 - L23,15,0.010608399722849856,0.04427715975503681,0.024916149596693297,0.0750684087645441
hk_u_N1300_IR9p35,L21 - L23,15,0.011539876393616803,0.03175292439829801,0.01786836867625607,0.05383456213968074
hk_u_N1300_IR9p35,L22 - L23,15,0.01009860308773352,0.030493383758004707,0.01715958556572485,0.05169911099140926
hk_l_N500_IR1p74,L0 - L23,15,-0.11415261235889572,0.03796479284961918,0.021363982316886916,0.06436629187743355
