cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_l_N500_IR1p74,hk_l,0.9509569377990431,0.946237914389907,0.9387755102040817,0.07,0.08851674641148324,"[1.0, 1.0, 0.9090909090909091, 0.8947368421052632]",H2,7,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.945906432748538,0.9328559848689544,0.8995015275767808,0.11,0.12134502923976608,"[1.0, 0.8888888888888888, 1.0, 0.8947368421052632]",H2,8,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9697703460038986,0.9596552751819768,0.9424342105263158,0.06,0.05901254873294347,"[0.96875, 0.9629629629629629, 1.0, 0.9473684210526315]",H2,9,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9785353535353536,0.9729070712544026,0.9257670735730782,0.06,0.06439393939393939,"[0.9696969696969697, 1.0, 1.0, 0.9444444444444444]",H2,10,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9675925925925926,0.9595782863003949,0.9624812406203102,0.05,0.05555555555555555,"[1.0, 0.9259259259259259, 1.0, 0.9444444444444444]",H2,11,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9267455254297359,0.9195059585993114,0.9030517619288484,0.11,0.13904394825447455,"[1.0, 0.9629629629629629, 0.9545454545454546, 0.7894736842105263]",H2,12,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9736842105263158,0.9734525025369393,0.9664654594232059,0.04,0.05263157894736842,"[1.0, 1.0, 1.0, 0.8947368421052632]",H2,13,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9078642787524367,0.88026046822584,0.8007650621613006,0.2,0.20379507797270954,"[0.9375, 0.8518518518518519, 1.0, 0.8421052631578947]",H2,14,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9348290598290598,0.9329943768519029,0.9403137789904502,0.08,0.10256410256410256,"[1.0, 0.9615384615384616, 1.0, 0.7777777777777778]",H3,0,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9505208333333334,0.9470608743389418,0.9303075180764875,0.08,0.09895833333333333,"[0.96875, 1.0, 1.0, 0.8333333333333334]",H3,1,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.907879507797271,0.8936823492429736,0.845360824742268,0.16,0.19203825536062377,"[0.96875, 0.9259259259259259, 1.0, 0.7368421052631579]",H3,2,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9324384192805246,0.9191674768806815,0.9194587628865979,0.1,0.11239588871167819,"[1.0, 0.9259259259259259, 0.9090909090909091, 0.8947368421052632]",H3,3,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.8901501306928938,0.8653795628432167,0.7840081314585804,0.21,0.23141087409179514,"[0.90625, 0.9629629629629629, 0.9545454545454546, 0.7368421052631579]",H3,4,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.8963675213675213,0.8796636221050201,0.8914858096828047,0.14,0.16880341880341881,"[1.0, 0.8076923076923077, 1.0, 0.7777777777777778]",H3,5,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9596165458937198,0.9466513226418217,0.9036850921273032,0.09,0.08552234299516909,"[0.9375, 1.0, 0.9565217391304348, 0.9444444444444444]",H3,6,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9736842105263158,0.973336885636925,0.9790794979079498,0.03,0.039473684210526314,"[1.0, 1.0, 1.0, 0.8947368421052632]",H3,7,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9213849016480595,0.906347977684826,0.8594377510040161,0.15,0.17038809144072303,"[1.0, 0.8888888888888888, 0.9545454545454546, 0.8421052631578947]",H3,8,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9409874512670565,0.9194778701623415,0.8634332064227777,0.13,0.12973623294346978,"[0.90625, 0.9629629629629629, 1.0, 0.8947368421052632]",H3,9,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9507575757575758,0.9474498700297387,0.9700854700854701,0.05,0.056818181818181816,"[0.9696969696969697, 1.0, 1.0, 0.8333333333333334]",H3,10,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9273726851851851,0.9205261265901874,0.920906933825468,0.1,0.12210648148148148,"[0.96875, 0.9629629629629629, 1.0, 0.7777777777777778]",H3,11,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9512670565302144,0.9467249705991199,0.9449432491953245,0.07,0.08820662768031189,"[1.0, 0.9629629629629629, 1.0, 0.8421052631578947]",H3,12,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9264354066985646,0.92016434243498,0.9495119488387749,0.08,0.09988038277511961,"[1.0, 1.0, 0.8636363636363636, 0.8421052631578947]",H3,13,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9171235380116959,0.893026748724851,0.8145759432441148,0.18,0.18527655945419103,"[0.9375, 0.8888888888888888, 1.0, 0.8421052631578947]",H3,14,rebalance,ldam,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9626068376068376,0.9594634410824547,0.9625,0.05,0.060897435897435896,"[1.0, 0.9615384615384616, 1.0, 0.8888888888888888]",H4,0,rebalance,logitadj,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9583333333333334,0.9604627053504625,0.9479753750108385,0.06,0.08333333333333333,"[1.0, 1.0, 1.0, 0.8333333333333334]",H4,1,rebalance,logitadj,400,100,H1
hk_l_N500_IR1p74,hk_l,0.928849902534113,0.9201034313099594,0.8817567567567568,0.12,0.15009746588693956,"[1.0, 0.9259259259259259, 1.0, 0.7894736842105263]",H4,2,rebalance,logitadj,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9377838140173667,0.9199487985397633,0.9203060248645203,0.1,0.09635970450115187,"[0.96875, 0.9259259259259259, 0.9090909090909091, 0.9473684210526315]",H4,3,rebalance,logitadj,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9505942096402622,0.9326498966226408,0.8705501618122977,0.12,0.1183352161970583,"[0.9375, 0.9629629629629629, 0.9545454545454546, 0.9473684210526315]",H4,4,rebalance,logitadj,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9294871794871795,0.9200423101359431,0.9285954301075269,0.09,0.11217948717948717,"[1.0, 0.8846153846153846, 1.0, 0.8333333333333334]",H4,5,rebalance,logitadj,400,100,H1
