cell,task,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,r3_adopted
hk_l_N950_IR9p35,hk_l,H3,H1,15,0.9366143791720083,0.9143237786277163,-0.022290600544292098,0.019600630430372808,2,-0.04594736364471409,0.0013661625561298997,0.06284034560049129,0.011029890866861946,0.025925061773841084,0.03323131260745803,0.5807622090201194,False,False
hk_l_N950_IR9p35,hk_l,H4,H1,15,0.9366143791720083,0.9461996251629148,0.009585245990906393,0.01623312851782042,10,-0.010007148095036176,0.029177640076848962,0.31181692233185326,0.009134891687047541,0.025925061773841084,0.027521980493893313,0.13668595767114705,False,False
hk_u_N1300_IR9p35,hk_u,H3,H1,15,0.5909240252382835,0.383070128874157,-0.20785389636412657,0.046848503240227046,0,-0.26439717678055774,-0.1513106159476954,1.6219587176299957e-06,0.026363125403089608,0.0497214721410576,0.079427917479381,0.9999974365958022,False,False
hk_u_N1300_IR9p35,hk_u,H4,H1,15,0.5909240252382835,0.5572322398521248,-0.03369178538615879,0.04467526678289792,3,-0.0876121022089002,0.020228531436582618,0.20154000387440593,0.025140176935315756,0.0497214721410576,0.07574336762064181,0.7027070910149111,False,False
hk_u_N500_IR1p74,hk_u,H3,H1,15,0.5789936068695127,0.396738650536338,-0.18225495633317462,0.05995425819998929,0,-0.25461608207027686,-0.10989383059607236,9.326770809626073e-05,0.03373814568356039,0.038782768980017805,0.1016476844185977,0.9998611500296979,False,False
hk_u_N500_IR1p74,hk_u,H4,H1,15,0.5789936068695127,0.5266844532003313,-0.05230915366918138,0.05357238459087847,3,-0.11696774796762022,0.012349440629257448,0.10466419329207817,0.030146864796721087,0.038782768980017805,0.09082772443419763,0.8490142327113528,False,False
hk_u_N500_IR20,hk_u,H3,H1,15,0.531476991205252,0.3746124814195467,-0.15686450978570543,0.08183568397219522,0,-0.255635179217403,-0.0580938403540079,0.004259319360248856,0.0460515117834987,0.07724036220693961,0.13874590443331145,0.9949516820355113,False,False
hk_u_N500_IR20,hk_u,H4,H1,15,0.531476991205252,0.4869857278892604,-0.044491263315991604,0.08597582260117793,6,-0.14825882706170979,0.05927630042972657,0.3733572604023606,0.04838129793061143,0.07724036220693961,0.14576518075233955,0.6897078159798189,False,False
hk_u_N500_IR4,hk_u,H3,H1,15,0.5569077799469956,0.3941187080892963,-0.16278907185769934,0.07169982495215545,0,-0.24932637887240056,-0.0762517648429981,0.0012296520546009723,0.04034774530363601,0.060642116700158594,0.12156136025058341,0.9983640579979794,False,False
hk_u_N500_IR4,hk_u,H4,H1,15,0.5569077799469956,0.5168523469994059,-0.04005543294758982,0.053468139140392196,3,-0.10458820935791474,0.024477343462735106,0.20437400579534726,0.030088202604894403,0.060642116700158594,0.09065098454997193,0.7420541785367982,False,False
hk_u_N500_IR9p35,hk_u,H3,H1,15,0.5514274305940973,0.36834611376278037,-0.18308131683131687,0.07147212545817787,0,-0.2693438044719042,-0.09681882919072957,0.0004519339106390021,0.040219611640898274,0.07026559629162271,0.12117531383785152,0.9994089177585509,False,False
hk_u_N500_IR9p35,hk_u,H4,H1,15,0.5514274305940973,0.5142988801322135,-0.03712855046188381,0.04992278936539067,3,-0.09738230635634923,0.023125205432581605,0.20748429021163034,0.02809312284243308,0.07026559629162271,0.08464012550671943,0.7240878237605897,False,False
hk_u_N950_IR9p35,hk_u,H3,H1,15,0.5756870876821656,0.3895983682482862,-0.18608871943387942,0.055927015128709914,0,-0.25358920889586267,-0.11858822997189618,3.7828578493117834e-05,0.031471889415511746,0.044055006776075316,0.09481981355376456,0.9999415610846349,False,False
hk_u_N950_IR9p35,hk_u,H4,H1,15,0.5756870876821656,0.5314393646413744,-0.04424772304079114,0.04334514420143735,2,-0.09656266319384263,0.008067217112260362,0.09115456763323623,0.02439167514782607,0.044055006776075316,0.07348825039531721,0.8314764378236505,False,False
