cell,task,kind,axis,n,ir,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p_cell,holm_p_global,sig_nb,sig_holm_cell,passes_gate,passes_gate_global,tost_significant,verdict_code,verdict
hk_l_N1510_IR9p35,hk_l,nominal,A,1510,9.393,H3,H0,15,0.9415244475782664,0.9331122215220469,-0.008412226056219548,0.01798469115905742,4,-0.030118649209058053,0.013294197096618957,0.4198103096833776,0.010120551043665955,0.018547284154429244,0.030491615878288674,0.1357084915781889,False,0.8396206193667552,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N1510_IR9p35,hk_l,nominal,A,1510,9.393,H4,H0,15,0.9415244475782664,0.9556946764949781,0.014170228916711648,0.01585195496897157,11,-0.004962111989957094,0.03330256982338039,0.1344904099060878,0.008920393349350079,0.018547284154429244,0.026875731006945087,0.26200104492541554,False,0.4034712297182634,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR1p74,hk_l,nominal,B,500,1.731,H1,H0,15,0.9539715950578362,0.955846173330441,0.001874578272604599,0.007527572638892431,2,-0.00721074187932021,0.010959898424529407,0.6648625304308287,0.004236001744653082,0.020435699821679896,0.01276240172105649,0.0003820630642513014,True,1.0,1.0,False,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
hk_l_N500_IR1p74,hk_l,nominal,B,500,1.731,H2,H0,15,0.9539715950578362,0.9427196596556816,-0.011251935402154708,0.02523147824140043,3,-0.041704787699462634,0.01920091689515322,0.441308815682827,0.014198545929471677,0.020435699821679896,0.04277796798254846,0.273850131703521,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR1p74,hk_l,nominal,B,500,1.731,H3,H0,15,0.9539715950578362,0.9320543229212661,-0.021917272136570375,0.01870647363807819,1,-0.04449484263218875,0.0006602983590480067,0.05616429885765536,0.010526720733028377,0.020435699821679896,0.0317153407620433,0.5709557006668057,False,0.22465719543062143,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR1p74,hk_l,nominal,B,500,1.731,H4,H0,15,0.9539715950578362,0.9566076255721564,0.002636030514319991,0.009372769986441612,4,-0.008676330072837786,0.013948391101477766,0.6249910037244231,0.005274352293814652,0.020435699821679896,0.015890787315421928,0.002672551005219518,True,1.0,1.0,False,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
hk_l_N500_IR4,hk_l,nominal,B,500,4.0,H1,H0,15,0.9417838515877732,0.947169406483132,0.0053855548953588425,0.009589385427572001,6,-0.006188247291492294,0.01695935708220998,0.33520863244695054,0.0053962486116005855,0.03356865505835422,0.016258041596623612,0.008489846317570363,True,0.9912172901067011,1.0,False,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
hk_l_N500_IR4,hk_l,nominal,B,500,4.0,H2,H0,15,0.9417838515877732,0.9393939393939394,-0.002389912193833747,0.028196714288225018,6,-0.03642162318886301,0.03164179880119551,0.882424201034671,0.015867177461867662,0.03356865505835422,0.04780529026062361,0.14288316857292188,False,0.9912172901067011,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR4,hk_l,nominal,B,500,4.0,H3,H0,15,0.9417838515877732,0.9219465900838449,-0.019837261503928172,0.02730247919233046,2,-0.052789685386493965,0.013115162378637621,0.21756277264044516,0.015363963264137024,0.03356865505835422,0.04628918565767248,0.4958491245788042,False,0.8702510905617806,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR4,hk_l,nominal,B,500,4.0,H4,H0,15,0.9417838515877732,0.9486909241811203,0.0069070725933471225,0.012172766640809891,7,-0.0077847128429074436,0.021598858029601688,0.3304057633689004,0.006849998425961703,0.03356865505835422,0.020637959323571424,0.0383235567771048,True,0.9912172901067011,1.0,False,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
hk_l_N500_IR20,hk_l,nominal,B,501,20.125,H1,H0,15,0.8971966353895702,0.9006599544778893,0.0034633190883190945,0.04984743896322593,5,-0.05669949347552924,0.06362613165216743,0.9034928914678175,0.02805072080258015,0.0617611804747574,0.08451237488266022,0.2824502285926529,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR20,hk_l,nominal,B,501,20.125,H2,H0,15,0.8971966353895702,0.8487382130248979,-0.048458422364672335,0.04431362351034874,2,-0.10194225785810404,0.005025413128759371,0.07236879565436141,0.024936668898004305,0.0617611804747574,0.07513023016645855,0.8635396027891692,False,0.28947518261744565,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR20,hk_l,nominal,B,501,20.125,H3,H0,15,0.8971966353895702,0.8902567973491886,-0.006939838040381519,0.07086583592745749,7,-0.09247057126881009,0.07859089518804704,0.8643372740966596,0.03987843346393494,0.0617611804747574,0.12014739807781671,0.37406803096645147,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR20,hk_l,nominal,B,501,20.125,H4,H0,15,0.8971966353895702,0.9123738077542424,0.015177172364672361,0.058466499554887384,6,-0.05538831960734231,0.08574266433668704,0.6516694646316119,0.03290093712794801,0.0617611804747574,0.09912530776365,0.4427742176823315,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR9p35,hk_u,ordinal,A,500,9.233,H1,H0,15,0.5556760677594011,0.5514274305940973,-0.0042486371653038405,0.01786152299498727,5,-0.025806403871133053,0.017309129540525374,0.6789361911848246,0.010051240446091484,0.07026559629162271,0.030282794035642262,0.06970433551863123,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_u_N500_IR9p35,hk_u,ordinal,A,500,9.233,H2,H0,15,0.5556760677594011,0.5527907740407741,-0.002885293718627043,0.050573197964559634,6,-0.06392405304467468,0.05815346560742059,0.9206835224874178,0.028459128206045545,0.07026559629162271,0.0857428416442611,0.27860045314829873,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR9p35,hk_u,ordinal,A,500,9.233,H3,H0,15,0.5556760677594011,0.36834611376278037,-0.18732995399662072,0.07800998428141767,0,-0.28148323769679406,-0.09317667029644738,0.0007814499949547038,0.04389867031094708,0.07026559629162271,0.13225973436760372,0.9990469269107426,False,0.0031257999798188153,0.03438379977800697,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR9p35,hk_u,ordinal,A,500,9.233,H4,H0,15,0.5556760677594011,0.5142988801322135,-0.04137718762718765,0.059523363000385535,3,-0.11321824919113255,0.030463873936757237,0.23704830798305723,0.033495667410039176,0.07026559629162271,0.10091713582068644,0.7331801823959743,False,0.7111449239491717,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N950_IR9p35,hk_u,ordinal,A,950,9.393,H1,H0,15,0.5470921271782634,0.5756870876821656,0.02859496050390225,0.026342758199818614,13,-0.0031991387909414484,0.060389059798745946,0.07425783846966041,0.0148238980939046,0.044055006776075316,0.04466205491657751,0.7143699125530387,False,0.22277351540898124,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N950_IR9p35,hk_u,ordinal,A,950,9.393,H2,H0,15,0.5470921271782634,0.5667589137004642,0.019666786522200788,0.042818613123476665,9,-0.03201266279699345,0.07134623584139502,0.4280523595670025,0.024095379559347537,0.044055006776075316,0.07259555875912678,0.49458079825990686,False,0.856104719134005,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N950_IR9p35,hk_u,ordinal,A,950,9.393,H3,H0,15,0.5470921271782634,0.3895983682482862,-0.1574937589299772,0.05157214577641592,0,-0.21973818721747565,-0.09524933064247873,8.919687839504781e-05,0.029021267540573867,0.044055006776075316,0.08743647834295075,0.9998411285304237,False,0.00035678751358019124,0.004103056406172199,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N950_IR9p35,hk_u,ordinal,A,950,9.393,H4,H0,15,0.5470921271782634,0.5314393646413744,-0.015652762536888888,0.03866978164243777,5,-0.062324825800866165,0.03101930072708839,0.4837829519328769,0.021760701671132806,0.044055006776075316,0.06556154439964865,0.4222647238183978,False,0.856104719134005,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N1300_IR9p35,hk_u,ordinal,A,1300,9.338,H1,H0,15,0.5676038218021913,0.5909240252382835,0.023320203436092164,0.025660184823053406,13,-0.007650071506256843,0.05429047837844117,0.12861621427518355,0.01443979259887525,0.0497214721410576,0.043504805952500114,0.5892657702077624,False,0.38584864282555065,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
