pair,layer,bhattacharyya,fisher_J,perdim_fisher_mean,perdim_fisher_max
OLP_vs_OT,20,4.504029750823975,8.830792427062988,0.10198208689689636,0.8242658376693726
OLP_vs_OT,21,4.703680038452148,9.218839645385742,0.10088925063610077,0.8276220560073853
OLP_vs_OT,22,4.835651397705078,9.515565872192383,0.1077815592288971,0.8399344682693481
OLP_vs_OT,23,4.71785831451416,8.949359893798828,0.11580494791269302,0.8831076622009277
OLP_vs_OC,0,2.894414186477661,4.093101501464844,0.08457410335540771,0.5686209797859192
OLP_vs_OC,1,3.0187389850616455,5.969212532043457,0.08175325393676758,0.6265689134597778
OLP_vs_OC,2,3.600586414337158,6.289032936096191,0.1367470622062683,0.7541349530220032
OLP_vs_OC,3,3.2819623947143555,6.6383056640625,0.1148592084646225,0.705924928188324
OLP_vs_OC,4,2.872781753540039,7.377389430999756,0.10273455828428268,0.9165289402008057
OLP_vs_OC,5,2.6300065517425537,7.18372917175293,0.1009722501039505,0.9006848931312561
OLP_vs_OC,6,2.4439985752105713,6.855655193328857,0.09341485798358917,0.7033324837684631
OLP_vs_OC,7,2.2685155868530273,7.129338264465332,0.08270888030529022,0.8203381896018982
OLP_vs_OC,8,2.1431527137756348,7.370376110076904,0.0768200010061264,0.9279338717460632
OLP_vs_OC,9,2.175746440887451,7.309439659118652,0.07949069142341614,1.0840446949005127
OLP_vs_OC,10,2.1862800121307373,7.709156513214111,0.07930949330329895,1.0415765047073364
OLP_vs_OC,11,2.239992618560791,8.217622756958008,0.08098148554563522,0.9881917834281921
OLP_vs_OC,12,2.1785576343536377,8.028149604797363,0.07765208184719086,0.9699314832687378
OLP_vs_OC,13,2.0826852321624756,7.970165729522705,0.07576170563697815,0.9419288635253906
OLP_vs_OC,14,2.1254639625549316,7.927745819091797,0.07193490117788315,0.9327640533447266
OLP_vs_OC,15,2.2481529712677,7.877030849456787,0.06983929872512817,0.9567275643348694
OLP_vs_OC,16,2.6467461585998535,7.990021228790283,0.06468608975410461,0.9909035563468933
OLP_vs_OC,17,2.791572332382202,7.679776191711426,0.06324369460344315,1.0063976049423218
OLP_vs_OC,18,2.904362440109253,8.440998077392578,0.06660947948694229,1.0033513307571411
OLP_vs_OC,19,3.16109561920166,9.019220352172852,0.07622566819190979,1.0193599462509155
OLP_vs_OC,20,3.4041924476623535,9.066637992858887,0.07843776047229767,1.0331225395202637
OLP_vs_OC,21,3.493313789367676,9.241660118103027,0.07920927554368973,1.0576711893081665
OLP_vs_OC,22,3.5845961570739746,9.464232444763184,0.09002814441919327,1.1125149726867676
OLP_vs_OC,23,3.5325779914855957,9.426376342773438,0.09522534161806107,1.1826889514923096
OLP_vs_MC,0,2.3839752674102783,2.9775047302246094,0.04184211418032646,0.43897271156311035
OLP_vs_MC,1,2.719088554382324,4.025166988372803,0.033680178225040436,0.31375712156295776
OLP_vs_MC,2,3.1025145053863525,4.557844161987305,0.04949723184108734,0.3948882520198822
OLP_vs_MC,3,2.9777138233184814,5.556373596191406,0.05690673738718033,0.6603700518608093
OLP_vs_MC,4,2.7956793308258057,5.808193683624268,0.060367755591869354,0.6780967712402344
OLP_vs_MC,5,2.677354574203491,6.4369282722473145,0.065908282995224,0.838292121887207
OLP_vs_MC,6,2.5761594772338867,6.957306385040283,0.0637349858880043,0.6464362144470215
OLP_vs_MC,7,2.407022714614868,6.434056758880615,0.05749797821044922,0.5826383829116821
OLP_vs_MC,8,2.300915479660034,6.241017818450928,0.05813949555158615,0.6235010027885437
OLP_vs_MC,9,2.250744104385376,5.980251312255859,0.05758502334356308,0.6243662238121033
OLP_vs_MC,10,2.330721855163574,6.411285877227783,0.056021250784397125,0.48219698667526245
OLP_vs_MC,11,2.4648358821868896,6.781755447387695,0.05930028855800629,0.5097596049308777
OLP_vs_MC,12,2.4668238162994385,6.373706817626953,0.05564683675765991,0.6164690256118774
OLP_vs_MC,13,2.43241810798645,6.199172496795654,0.053763970732688904,0.46241864562034607
OLP_vs_MC,14,2.5136148929595947,6.308528900146484,0.05198947340250015,0.5188440084457397
OLP_vs_MC,15,2.84362530708313,7.059666156768799,0.051408302038908005,0.5903599858283997
OLP_vs_MC,16,3.221264362335205,7.246584415435791,0.04850751534104347,0.5548797845840454
OLP_vs_MC,17,3.41058087348938,7.5743842124938965,0.05460634455084801,0.5848863124847412
OLP_vs_MC,18,3.40464448928833,7.927350997924805,0.05998515337705612,0.5942385792732239
OLP_vs_MC,19,3.512119770050049,8.36916446685791,0.07470561563968658,0.6469792723655701
OLP_vs_MC,20,3.7774181365966797,8.859637260437012,0.08763778209686279,0.8641294836997986
OLP_vs_MC,21,3.8845419883728027,8.86902141571045,0.09667539596557617,0.8770549893379211
OLP_vs_MC,22,3.9093728065490723,8.917867660522461,0.1082274466753006,1.0945844650268555
OLP_vs_MC,23,3.759770393371582,8.315706253051758,0.10772745311260223,0.9076436161994934
OLP_vs_Gum,0,3.399531602859497,4.266645431518555,0.09007681906223297,0.575461745262146
OLP_vs_Gum,1,3.348499298095703,5.598348140716553,0.07692105323076248,0.7230209708213806
OLP_vs_Gum,2,4.195090293884277,6.524796009063721,0.08054983615875244,0.6910877227783203
OLP_vs_Gum,3,4.018008708953857,7.927517890930176,0.09563709795475006,0.8912841081619263
OLP_vs_Gum,4,3.7424099445343018,10.829378128051758,0.11075568944215775,1.3941593170166016
OLP_vs_Gum,5,3.3787102699279785,10.870792388916016,0.11723040789365768,1.2616872787475586
OLP_vs_Gum,6,3.3211159706115723,11.191828727722168,0.12245380133390427,1.4327186346054077
OLP_vs_Gum,7,3.1476879119873047,11.945272445678711,0.14201322197914124,1.1874470710754395
OLP_vs_Gum,8,3.0518341064453125,11.972021102905273,0.13575272262096405,1.490525245666504
OLP_vs_Gum,9,3.0867934226989746,12.180182456970215,0.13890241086483002,1.35699462890625
OLP_vs_Gum,10,3.193765163421631,12.944794654846191,0.14478805661201477,1.5428160429000854
OLP_vs_Gum,11,3.2671101093292236,13.186184883117676,0.14471496641635895,1.5051929950714111
OLP_vs_Gum,12,3.086261510848999,12.618926048278809,0.13225232064723969,1.3642157316207886
OLP_vs_Gum,13,3.0853891372680664,13.396194458007812,0.14340317249298096,1.33055579662323
OLP_vs_Gum,14,3.1420717239379883,13.223657608032227,0.1396014392375946,1.1398268938064575
OLP_vs_Gum,15,3.2162954807281494,12.767910957336426,0.1385970562696457,1.3361279964447021
OLP_vs_Gum,16,3.7036008834838867,13.375397682189941,0.1635579764842987,1.303214430809021
OLP_vs_Gum,17,4.01063346862793,13.79100227355957,0.16793261468410492,1.5410956144332886
OLP_vs_Gum,18,3.984848976135254,13.160797119140625,0.1612735092639923,1.6354531049728394
OLP_vs_Gum,19,4.270977973937988,13.542284965515137,0.1728890836238861,1.3809782266616821
OLP_vs_Gum,20,4.7678070068359375,14.58920955657959,0.19168737530708313,2.027207136154175
OLP_vs_Gum,21,5.177485466003418,15.759596824645996,0.22316542267799377,2.0831146240234375
OLP_vs_Gum,22,5.23144006729126,16.072097778320312,0.23760567605495453,1.980441927909851
