pair,layer,n_pos,n_neg,lin_bacc_mean,lin_bacc_std,lin_auroc_mean
OLP_vs_Gum,1,84,54,0.6953776737967915,0.07907542772559348,0.793331550802139
OLP_vs_Gum,2,84,54,0.7448609625668449,0.0687628087111708,0.8368422459893047
OLP_vs_Gum,3,84,54,0.8055882352941177,0.06727508546756045,0.881485294117647
OLP_vs_Gum,4,84,54,0.8648997326203208,0.05380555540464053,0.9284532085561499
OLP_vs_Gum,5,84,54,0.8549685828877006,0.0550290089633971,0.9301885026737969
OLP_vs_Gum,6,84,54,0.8572673796791443,0.047301584165801,0.9371483957219249
OLP_vs_Gum,7,84,54,0.8802887700534759,0.05205659641641265,0.9342633689839572
OLP_vs_Gum,8,84,54,0.870269385026738,0.05322303887241105,0.930807486631016
OLP_vs_Gum,9,84,54,0.8674832887700533,0.05271646917043253,0.940605614973262
OLP_vs_Gum,10,84,54,0.8663241978609625,0.06461367358536539,0.9481283422459893
OLP_vs_Gum,11,84,54,0.8767907754010694,0.060971739407068404,0.9477312834224598
OLP_vs_Gum,12,84,54,0.869875,0.05194988554214481,0.9378783422459892
OLP_vs_Gum,13,84,54,0.8941644385026738,0.05391100425377502,0.9445173796791444
OLP_vs_Gum,14,84,54,0.8854645721925132,0.0540393954073086,0.9436751336898397
OLP_vs_Gum,15,84,54,0.883711898395722,0.05307246253682558,0.9470106951871657
OLP_vs_Gum,16,84,54,0.8892045454545454,0.052057743768482496,0.9513422459893047
OLP_vs_Gum,17,84,54,0.8881724598930483,0.05613339527093448,0.953716577540107
OLP_vs_Gum,18,84,54,0.8908489304812833,0.053241941683354596,0.9536751336898395
OLP_vs_Gum,19,84,54,0.8877092245989304,0.052493137951168924,0.958683155080214
OLP_vs_Gum,20,84,54,0.8997245989304814,0.05437526472890422,0.9657807486631015
OLP_vs_Gum,21,84,54,0.9061744652406416,0.05132938641372236,0.9674050802139037
OLP_vs_Gum,22,84,54,0.9083342245989304,0.05136269760323774,0.970855614973262
OLP_vs_Gum,23,84,54,0.9152205882352942,0.050666241856452694,0.972024064171123
OLP_vs_rest,0,84,378,0.6555456914344685,0.059381742201622824,0.7002603844169246
OLP_vs_rest,1,84,378,0.6754443240454076,0.06614343098852697,0.757888080495356
OLP_vs_rest,2,84,378,0.7046909958720332,0.057094225147828914,0.7865031991744067
OLP_vs_rest,3,84,378,0.7220840299277606,0.06053326402300834,0.8302451238390093
OLP_vs_rest,4,84,378,0.7527172084623324,0.06569954678724271,0.8739263673890609
OLP_vs_rest,5,84,378,0.761609004127967,0.05293863623089841,0.8816804695562435
OLP_vs_rest,6,84,378,0.7627434468524252,0.0574120946109142,0.8620227683178535
OLP_vs_rest,7,84,378,0.8031528379772962,0.05256788980289268,0.8966924148606811
OLP_vs_rest,8,84,378,0.7835573529411765,0.05114935338602703,0.8900114035087718
OLP_vs_rest,9,84,378,0.7952310113519091,0.05633127493651526,0.8894914215686274
OLP_vs_rest,10,84,378,0.8005641382868938,0.05406378111455251,0.9088883126934983
OLP_vs_rest,11,84,378,0.8092648606811145,0.05082737194535514,0.9155898477812177
OLP_vs_rest,12,84,378,0.7993499484004128,0.05023307492215729,0.9037991615067079
OLP_vs_rest,13,84,378,0.7966107843137255,0.050232387517074775,0.9045004385964911
OLP_vs_rest,14,84,378,0.7951613003095975,0.05101420529996688,0.9002792569659442
OLP_vs_rest,15,84,378,0.8013282765737874,0.04682120063449937,0.9088945949432404
OLP_vs_rest,16,84,378,0.7991044375644996,0.049200770977363896,0.8984912667698659
OLP_vs_rest,17,84,378,0.79745128998968,0.04647740751158943,0.8989817595459236
OLP_vs_rest,18,84,378,0.811319633642931,0.05130095879122541,0.9053156475748194
OLP_vs_rest,19,84,378,0.8137115841073271,0.054342901178628444,0.9106042053663572
OLP_vs_rest,20,84,378,0.8057961042311662,0.04959893627051894,0.9138856682146543
OLP_vs_rest,21,84,378,0.8007957946336429,0.045093970437346816,0.9082880030959752
OLP_vs_rest,22,84,378,0.8042716976264191,0.04584186193351509,0.9087546310629514
OLP_vs_rest,23,84,378,0.7996138286893704,0.04421506971999729,0.9099614809081529
