dataset,fold,arm,label,recall
aptos2019,13,selected_surgical,4,0.46296296296296297
aptos2019,14,full_llrd,0,0.9841269841269841
aptos2019,14,full_llrd,1,0.7638888888888888
aptos2019,14,full_llrd,2,0.772972972972973
aptos2019,14,full_llrd,3,0.375
aptos2019,14,full_llrd,4,0.6774193548387096
aptos2019,14,full_llrd_ema,0,0.9894179894179894
aptos2019,14,full_llrd_ema,1,0.75
aptos2019,14,full_llrd_ema,2,0.5891891891891892
aptos2019,14,full_llrd_ema,3,0.5625
aptos2019,14,full_llrd_ema,4,0.6451612903225806
aptos2019,14,selected_surgical,0,0.9841269841269841
aptos2019,14,selected_surgical,1,0.7638888888888888
aptos2019,14,selected_surgical,2,0.772972972972973
aptos2019,14,selected_surgical,3,0.375
aptos2019,14,selected_surgical,4,0.6774193548387096
